artist,name,song,person,sentence,year,highestRank
Future,Curtis,Call The Coroner,True,"Now I got power, I feel like Curtis",2019.0,100.0
Future,Goldie,Call The Coroner,True,"Super like Goldie Mack, ho caught an asthma attack",2019.0,100.0
Post Malone,Michael,Candy Paint,True,"God damn I love paper, like I'm Michael Scott",2017.0,34.0
Post Malone,Tony,Candy Paint,True,Baby I'm the boss like I'm Tony Danza,2017.0,34.0
Lil Wayne,Ricky,Can't Be Broken,True,I'm smoking icky and watching Ricky Lake,2018.0,17.0
Drake,Drake,Can't Have Everything,True,All that Drake hysteria,2017.0,82.0
Drake,Russ,Can't Have Everything,True,"Damn, oh, triple double, Russ face",2017.0,82.0
Amine,Caroline,Caroline,True,"Caroline, you divine",2017.0,11.0
Amine,Meagan,Caroline,True,"One of them Beyoncé, Meagan Good types, man",2017.0,11.0
JAY-Z Featuring Frank Ocean,Lisa,Caught Their Eyes,True,Nigga with that Lisa,2017.0,63.0
JAY-Z Featuring Frank Ocean,Prince,Caught Their Eyes,True,"I sat down with Prince, eye to eye",2017.0,63.0
Migos Featuring Gucci Mane,Jane,CC,True,Plain Jane rollin' with the bust AP,2018.0,96.0
Young Thug Featuring Gunna & Lil Baby,Marc,Chanel (Go Get It),True,"Got Marc Jacob's, they cover my eyes",2018.0,78.0
Frank Ocean,Mike,Chanel,True,Clips on clips like Mike,2017.0,72.0
Kevin Gates,Jane,Change Lanes,True,"Plain Jane, I done changed lanes, Plain Jane I done changed lanes",2018.0,68.0
Nicki Minaj,Lara,Chun-Li,True,"Ayo, I been off, Lara been Croft",2018.0,10.0
Nicki Minaj,Nicki,Chun-Li,True,He keep on dialin' Nicki like the Prince song,2018.0,10.0
Nicki Minaj,Prince,Chun-Li,True,He keep on dialin' Nicki like the Prince song,2018.0,10.0
Rae Sremmurd & Travis Scott,Mike,Close,True,Mike WiLL Made-It,2018.0,98.0
Offset Featuring Cardi B,Brandy,Clout,True,"Bitches is Brandy, they wanna be down",2019.0,64.0
Offset Featuring Cardi B,Elvis,Clout,True,"Oh, I took the crown off the king like Mike did Elvis",2019.0,64.0
Offset Featuring Cardi B,Jason,Clout,True,"Mask on her face, Jason",2019.0,64.0
Offset Featuring Cardi B,Kim,Clout,True,"My bitch on your ass, Kim K",2019.0,64.0
Offset Featuring Cardi B,Mike,Clout,True,"Oh, I took the crown off the king like Mike did Elvis",2019.0,64.0
Kodak Black Featuring Lil Wayne,Jimmy,Codeine Dreaming,True,"I'm feeling Jimmy Neutron, how I blast off on a verse",2017.0,52.0
Logic,Cole,Confessions Of A Dangerous Mind,True,"\You'll never be better than Drizzy or Cole\""""",2019.0,78.0
Logic,Kenny,Confessions Of A Dangerous Mind,True,"\'Cause you'll never be Kenny\""""",2019.0,78.0
Kodak Black Featuring Future,Chris,Conscience,True,"Chris Johnson, I swear for God I drop the twenty-eight",2017.0,93.0
